States/UTs,Area,Number of Households surveyed,Number of Women age 15-49 years interviewed,Number of Men age 15-54 years interviewed,Female population age 6 years and above who ever attended school (%),Population below age 15 years (%)," Sex ratio of the total population (females per 1,000 males)","Sex ratio at birth for children born in the last five years (females per 1,000 males)",Children under age 5 years whose birth was registered with the civil authority (%),Deaths in the last 3 years registered with the civil authority (%),Population living in households with electricity (%),Population living in households with an improved drinking-water source1 (%),Population living in households that use an improved sanitation facility2 (%),Households using clean fuel for cooking3 (%),Households using iodized salt (%),Households with any usual member covered under a health insurance/financing scheme (%),Children age 5 years who attended pre-primary school during the school year 2019-20 (%),Women (age 15-49) who are literate4 (%),Men (age 15-49) who are literate4 (%),Women (age 15-49)  with 10 or more years of schooling (%),Men (age 15-49)  with 10 or more years of schooling (%),Women (age 15-49)  who have ever used the internet (%),Men (age 15-49)  who have ever used the internet (%),Women age 20-24 years married before age 18 years (%),Men age 25-29 years married before age 21 years (%),Total Fertility Rate (number of children per woman),Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),Adolescent fertility rate for women age 15-19 years5,Neonatal mortality rate (per 1000 live births),Infant mortality rate (per 1000 live births),Under-five mortality rate (per 1000 live births),Current Use of Family Planning Methods (Currently Married Women Age 15-49  years) - Any method6 (%),Current Use of Family Planning Methods (Currently Married Women Age 15-49  years) - Any modern method6 (%),Current Use of Family Planning Methods (Currently Married Women Age 15-49  years) - Female sterilization (%),Current Use of Family Planning Methods (Currently Married Women Age 15-49  years) - Male sterilization (%),Current Use of Family Planning Methods (Currently Married Women Age 15-49  years) - IUD/PPIUD (%),Current Use of Family Planning Methods (Currently Married Women Age 15-49  years) - Pill (%),Current Use of Family Planning Methods (Currently Married Women Age 15-49  years) - Condom (%),Current Use of Family Planning Methods (Currently Married Women Age 15-49  years) - Injectables (%),Total Unmet need for Family Planning (Currently Married Women Age 15-49  years)7 (%),Unmet need for spacing (Currently Married Women Age 15-49  years)7 (%),Health worker ever talked to female non-users about family planning (%),Current users ever told about side effects of current method of family planning8 (%),Mothers who had an antenatal check-up in the first trimester  (for last birth in the 5 years before the survey) (%),Mothers who had at least 4 antenatal care visits  (for last birth in the 5 years before the survey) (%),Mothers whose last birth was protected against neonatal tetanus (for last birth in the 5 years before the survey)9 (%),Mothers who consumed iron folic acid for 100 days or more when they were pregnant (for last birth in the 5 years before the survey) (%),Mothers who consumed iron folic acid for 180 days or more when they were pregnant (for last birth in the 5 years before the survey} (%),Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (for last birth in the 5 years before the survey) (%),Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (for last birth in the 5 years before the survey) (%),Average out-of-pocket expenditure per delivery in a public health facility (for last birth in the 5 years before the survey) (Rs.),Children born at home who were taken to a health facility for a check-up within 24 hours of birth (for last birth in the 5 years before the survey} (%),Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/ other health personnel within 2 days of delivery (for last birth in the 5 years before the survey) (%),Institutional births (in the 5 years before the survey) (%),Institutional births in public facility (in the 5 years before the survey) (%),Home births that were conducted by skilled health personnel  (in the 5 years before the survey)10 (%),Births attended by skilled health personnel (in the 5 years before the survey)10 (%),Births delivered by caesarean section (in the 5 years before the survey) (%),Births in a private health facility that were delivered by caesarean section (in the 5 years before the survey) (%),Births in a public health facility that were delivered by caesarean section (in the 5 years before the survey) (%),Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's recall11 (%),Children age 12-23 months fully vaccinated based on information from vaccination card only12 (%),Children age 12-23 months who have received BCG (%),Children age 12-23 months who have received 3 doses of polio vaccine13 (%),Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),Children age 12-23 months who have received 3 doses of rotavirus vaccine14 (%),Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),Children age 9-35 months who received a vitamin A dose in the last 6 months (%),Children age 12-23 months who received most of their vaccinations in a public health facility (%),Children age 12-23 months who received most of their vaccinations in a private health facility (%),Prevalence of diarrhoea in the 2 weeks preceding the survey (Children under age 5 years) (%) ,Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (Children under age 5 years) (%) ,Children with diarrhoea in the 2 weeks preceding the survey who received zinc (Children under age 5 years) (%) ,Children swith diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (Children under age 5 years) (%) ,Children Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (Children under age 5 years) (%) ,Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility or health provider (Children under age 5 years) (%)  ,Children under age 3 years breastfed within one hour of birth15 (%),Children under age 6 months exclusively breastfed16 (%),Children age 6-8 months receiving solid or semi-solid food and breastmilk16 (%),"Breastfeeding children age 6-23 months receiving an adequate diet16, 17  (%)","Non-breastfeeding children age 6-23 months receiving an adequate diet16, 17 (%)","Total children age 6-23 months receiving an adequate diet16, 17  (%)",Children under 5 years who are stunted (height-for-age)18 (%),Children under 5 years who are wasted (weight-for-height)18 (%),Children under 5 years who are severely wasted (weight-for-height)19 (%),Children under 5 years who are underweight (weight-for-age)18 (%),Children under 5 years who are overweight (weight-for-height)20 (%),Women (age 15-49 years) whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m2)21 (%),Men (age 15-49 years) whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m2) (%),Women (age 15-49 years) who are overweight or obese (BMI ≥25.0 kg/m2)21 (%),Men (age 15-49 years) who are overweight or obese (BMI ≥25.0 kg/m2) (%),Women (age 15-49 years) who have high risk waist-to-hip ratio (≥0.85) (%),Men (age 15-49 years) who have high risk waist-to-hip ratio (≥0.90) (%),Children age 6-59 months who are anaemic (<11.0 g/dl)22 (%),Non-pregnant women age 15-49 years who are anaemic (<12.0 g/dl)22 (%),Pregnant women age 15-49 years who are anaemic (<11.0 g/dl)22 (%),All women age 15-49 years who are anaemic22 (%),All women age 15-19 years who are anaemic22 (%) ,Men age 15-49 years who are anaemic (<13.0 g/dl)22 (%),Men age 15-19 years who are anaemic (<13.0 g/dl)22 (%),Women  age 15 years and above with high (141-160 mg/dl) Blood sugar level23 (%),Women age 15 years and above wih very high (>160 mg/dl) Blood sugar level23 (%),Women age 15 years and above wih high or very high (>140 mg/dl) Blood sugar level or taking medicine to control blood sugar level23 (%),Men age 15 years and above wih high (141-160 mg/dl) Blood sugar level23 (%),Men (age 15 years and above wih  very high (>160 mg/dl) Blood sugar level23 (%),Men age 15 years and above wih high or very high (>140 mg/dl) Blood sugar level  or taking medicine to control blood sugar level23 (%),Women age 15 years and above wih Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),Women age 15 years and above wih Moderately or severely elevated blood pressure (Systolic ≥160 mm of Hg and/or Diastolic ≥100 mm of Hg) (%),Women age 15 years and above wih Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%),Men age 15 years and above wih Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),Men age 15 years and above wih Moderately or severely elevated blood pressure (Systolic ≥160 mm of Hg and/or Diastolic ≥100 mm of Hg) (%),Men age 15 years and above wih Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%),Women (age 30-49 years) Ever undergone a screening test for cervical cancer (%),Women (age 30-49 years) Ever undergone a breast examination for breast cancer (%),Women (age 30-49 years) Ever undergone an oral cavity examination for oral cancer (%),Men (age 30-49 years)Ever undergone an oral cavity examination for oral cancer (%),Women (age 15-49 years) who have comprehensive knowledge24 of HIV/AIDS (%),Men (age 15-49 years) who have comprehensive knowledge24 of HIV/AIDS (%),Women (age 15-49 years) who know that consistent condom use can reduce the chance of getting HIV/AIDS (%),Men (age 15-49 years) who know that consistent condom use can reduce the chance of getting HIV/AIDS (%),Currently married women (age 15-49 years) who usually participate in three household decisions25 (%),Women (age 15-49 years) who worked in the last 12 months and were paid in cash (%),Women (age 15-49 years) owning a house and/or land (alone or jointly with others) (%),Women (age 15-49 years) having a bank or savings account that they themselves use (%),Women (age 15-49 years) having a mobile phone that they themselves use (%),Women age 15-24 years who use hygienic methods of protection during their menstrual period26 (%),Ever-married women age 18-49 years who have ever experienced spousal violence27 (%),Ever-married women age 18-49 years who have experienced physical violence during any pregnancy (%),Young women age 18-29 years who experienced sexual violence by age 18 (%),Women age 15 years and above who use any kind of tobacco (%),Men age 15 years and above who use any kind of tobacco (%),Women age 15 years and above who consume alcohol (%),Men age 15 years and above who consume alcohol (%)
India,Urban,160138,179535,26420,82.51,23.14,985.28,924.35,93.3,83.2,99.05,98.67,81.47,89.65,96.92,38.08,18.06,83.01,89.55,56.28,62.11,51.78,72.46,14.69,11.25,1.63,3.84,27.09,17.96,26.56,31.45,69.26,58.51,36.31,0.24,2.72,4.35,13.58,0.44,8.43,3.55,23.02,64.71,75.46,68.14,92.72,54,34.38,94.91,84.61,3385.4,3.79,85.7,93.79,52.57,2.05,94.02,32.26,49.28,22.71,75.47,83.31,94.73,79.16,85.96,87.11,30.43,34.92,83.02,71.82,87.7,11.13,6.16,62.5,31.49,72.22,2.3,72.7,44.67,59.63,51.95,11.77,14.2,12.25,30.12,18.54,7.6,27.34,4.22,13.24,13,33.24,29.79,59.9,50.13,64.22,54.06,45.72,53.81,56.47,20.39,25.04, ,7.97,16.27,7.81,8.54,17.85,13.57,5.22,23.62,17.14,5.94,26.61,2.24,1.2,1.15, , ,37.48,76.11,86.35,91.01,24.96,38.3,80.93,69.36,89.37,24.19,2.51,1.1,5.44,28.82,0.58,16.53
India,Rural,476561,544580,75419,66.77,28.1,1037.29,930.94,87.53,65.82,95.7,94.57,64.9,43.21,92.97,42.44,11.98,65.9,81.54,33.7,43.72,24.56,48.68,27.02,21.14,2.14,7.93,49.27,27.45,38.36,45.69,65.55,55.5,38.65,0.33,1.84,5.41,7.58,0.62,9.88,4.27,24.26,61.47,67.91,54.2,91.65,40.17,22.74,96.31,75.42,2769.84,4.31,76.45,86.71,65.31,3.67,87.76,17.59,46.03,11.86,76.79,83.96,95.38,80.93,87.02,88.13,32.41,36.95,84.21,70.97,97.01,1.63,7.71,60.08,30.25,67.95,2.97,67.82,40.68,65.06,43.89,10.8,11.95,10.96,37.34,19.51,7.71,33.78,3.15,21.22,17.83,19.68,19.33,55.15,46.39,68.25,58.69,54.31,58.51,60.15,27.41,33.86,5.87,5.47,12.27,7.02,6.49,14.51,11.92,5.18,20.21,15.01,5.52,22.73,1.74,0.67,0.79,1.28,18.21,27.07,64.67,79.56,87.66,25.56,45.69,77.43,46.61,72.32,31.63,3.41,1.64,10.49,42.69,1.61,19.92
India,Total,636699,724115,101839,71.76,26.52,1020.45,929.16,89.08,70.75,96.77,95.87,70.17,58.62,94.28,40.99,13.62,71.46,84.37,41.04,50.21,33.34,57.14,23.25,17.67,1.99,6.78,42.89,24.91,35.2,41.86,66.71,56.45,37.91,0.3,2.11,5.07,9.46,0.56,9.42,4.04,23.86,62.36,70.04,58.13,91.95,44.07,26.02,95.91,78.01,2915.87,4.24,79.06,88.59,61.91,3.24,89.43,21.5,47.37,14.31,76.44,83.79,95.2,80.45,86.74,87.85,31.88,36.4,83.89,71.2,94.53,4.17,7.3,60.63,30.54,68.92,2.79,69.01,41.75,63.72,45.91,11.05,12.72,11.3,35.47,19.26,7.68,32.11,3.43,18.67,16.19,24.02,22.88,56.66,47.66,67.12,57.22,52.15,57.03,59.14,25.04,31.13,6.12,6.25,13.51,7.27,7.15,15.58,12.44,5.19,21.28,15.69,5.66,23.98,1.91,0.85,0.92,1.18,21.58,30.74,68.36,81.95,88.7,25.37,43.3,78.56,53.95,77.33,29.31,3.13,1.48,8.85,37.99,1.28,18.77
Andaman & Nicobar Islands,Urban,527,557,85,86.46,22.67,1022.74,941.04,96.86,-94.8,99.47,98.03,87.95,95.63,99.65,1.44,Null,86.55,89.27,59.71,59.41,44.13,54.57,17.43,Null,1.44,1.54,35.66,Null,Null,Null,54.43,48.53,31.01,0,2.23,2.21,12.12,0.46,18.32,8.78,30.09,-88.03,81.15,86.03,92.82,81.21,64.77,100,89.39,4229.5,Null,89.99,99.19,81.84,0,96.74,40.78,Null,33.59,-72.11,Null,-100,-75.68,-93.09,-79.29,-34.58,-0.01,-82.98,84.3,-90.94,-5.7,6.23,Null,Null,Null,0,-80.97,45.76,Null,Null,-24.27,Null,-27.74,18.15,12.83,5.09,15.07,5.69,11.32,7.77,41.72,37.04,72.2,61.32,47.83,57.36,Null,57.24,44.1,9.18,Null,8.59,9.39,19.64,9.49,8.56,19.44,12.58,5.01,23.43,17.63,6.5,28.17,1.74,0,9.98,3.52,10.13,36.83,81.39,67.48,93.03,34.66,10.87,88.48,80.79,98.47,23.19,-0.01,1.37,14.95,44.71,0.69,33.83
Andaman & Nicobar Islands,Rural,2097,1840,282,81.75,19.69,929.23,891.11,97.84,88.78,96.46,95.31,87.98,71.01,99.74,1.61,33.67,85.58,94.65,47.57,47.65,27.87,41.11,15.27,-5.75,1.17,4.01,13.19,-2.82,-8.39,-9.46,73.38,63.92,44.64,0.29,5.01,4.52,8.24,0.14,10.27,4.27,31.01,80.46,73.47,81.04,89.03,80.71,41.02,97.92,88.45,2089.19,Null,91.82,98.73,92.08,0.41,97.83,20.2,Null,15.78,84.84,96.77,95.88,87.35,92.08,85.5,28.59,0.65,88.44,87.22,100,0,5.13,Null,Null,Null,3.09,64.64,47.78,Null,Null,12.39,Null,10.59,26.42,18.95,4.57,31.14,5.16,8.19,1.57,35.71,50.58,80.72,53.66,33.32,57.68,-55.54,57.64,45.47,20.36,-25.59,6.7,7.32,16.19,9.12,6.55,17.12,16.85,4.81,26.4,22.14,6.43,31.24,2.83,2.56,10.18,3.97,18.42,33.36,72.51,62.19,95.52,17.12,19.36,89.75,80.86,99.12,13.22,0.5,2.16,41.06,66.39,7.6,41.94
Andaman & Nicobar Islands,Total,2624,2397,367,83.52,20.79,962.75,913.91,97.39,90.91,97.58,96.32,87.97,79.77,99.71,1.55,42.61,85.97,92.53,52.47,52.28,34.79,46.51,16.21,-7.08,1.28,3.01,22.1,-12.32,-20.64,-24.54,65.76,57.73,39.16,0.17,3.89,3.59,9.8,0.27,13.51,6.09,30.57,83.42,77.06,83.37,90.8,80.94,52.12,98.9,88.89,2924.19,Null,90.97,98.95,87.27,0.22,97.32,29.86,-79.17,23.63,77.78,95.99,98.17,80.88,92.64,82.05,31.91,0.29,85.41,85.95,94.89,3.21,5.64,-64.96,-44.05,-83.25,1.66,72.68,46.86,-73.26,Null,18.49,Null,19.47,22.47,15.99,4.82,23.65,5.42,9.44,3.99,38.11,45.3,77.3,56.63,40.04,57.55,-53.66,57.48,44.92,16.06,-27.09,7.41,8.09,17.47,9.25,7.26,17.93,15.25,4.89,25.29,20.55,6.46,30.16,2.41,1.56,10.1,3.78,14.89,34.71,76.29,64.26,94.48,24.58,15.75,89.21,80.83,98.85,17.21,0.3,1.84,31.26,58.71,5.01,39.07
Andhra Pradesh,Urban,3192,3161,433,75.47,21.33,1024.18,876.99,93.83,89.35,99.56,99.43,89.1,96.57,89.28,62.16,10.15,79.01,86.4,51.2,59.54,33.93,65.1,21.69,13.07,1.47,9.34,40.05,14.35,29.75,33.67,70.83,70.27,68.26,0.63,0.17,0.1,0.93,0,5.24,2.31,18.62,33.56,82.68,67.16,92.51,76.74,45.61,94.15,92.19,2658.69,Null,92.91,98.64,41.81,0.97,98.31,50.47,66.11,30.85,69.29,89.1,92.37,70.58,84.79,83.69,27.06,71.96,82.96,81.68,86.4,11.45,6.24,-64.2,-32.77,-77.6,2.04,69.22,51.63,61.35,-67.28,15.18,19.46,16.7,23.14,17.55,6.36,25.12,2.95,11.91,14.96,44.37,37.74,52.72,53.76,58.73,57.82,56.19,57.77,62.32,13.79,12.78,7.81,13.24,23.24,9.15,13.68,24.88,14.4,6.22,27.54,19.2,7.42,32.16,4.25,0.69,8.3,7.33,29.1,47.11,70.75,88.43,83.42,36.47,41.39,86.74,67.41,90.61,28.78,3.46,3.8,1.91,15.76,0.33,20.45
Andhra Pradesh,Rural,8154,7814,1125,61.21,22.57,1054.52,956.93,91.56,76.64,99.4,95.44,72.09,77.91,80.38,73.73,9.83,63.84,76.28,34.28,42.54,15.35,41.47,32.9,15.18,1.78,14.09,80.32,22.11,30.43,35.81,71.23,71.09,70.2,0.35,0.14,0.06,0.25,0.04,4.44,2.78,18.64,27.11,81.34,67.58,92.87,67.64,39.25,97.46,90.08,3248.46,-14.2,92.08,95.67,53.74,1.42,95.23,39.28,61.35,25.23,74.65,87.5,95.57,76.88,89.94,88.55,31.3,77,86.35,79.73,97.38,1.28,7.61,61.93,44.71,73.27,2.53,70.56,52.21,70.41,45.36,5.78,7.81,6.29,34.24,15.49,5.83,31.37,2.56,16.15,17.19,32.57,27.99,47.22,52.62,65.03,59.52,52.7,59.31,59.05,17.32,21.35,7.02,9.23,17.9,8.13,10.43,20.49,13.2,5.78,24.28,16.85,6.91,27.64,4.83,0.81,6.79,5.89,22.59,34.74,59.65,79.99,84.3,44.5,50.63,79.63,40.93,82.49,30.53,3.87,3.66,4.68,25.6,0.55,24.53
Andhra Pradesh,Total,11346,10975,1558,65.57,22.19,1045.13,933.63,92.17,80.21,99.45,96.65,77.26,83.62,83.1,70.19,9.92,68.64,79.48,39.63,47.91,20.97,48.79,29.34,14.52,1.68,12.57,67.25,19.91,30.25,35.19,71.11,70.84,69.61,0.44,0.15,0.07,0.45,0.03,4.68,2.64,18.64,28.92,81.73,67.46,92.77,70.29,41.1,96.53,90.69,3105.47,17.22,92.32,96.51,50.37,1.29,96.1,42.44,63.01,26.55,73.02,87.95,94.59,74.96,88.37,87.07,30.01,75.46,85.32,80.28,94.15,4.28,7.22,62.48,41.8,74.33,2.39,70.24,52.04,68.04,50.77,8.22,12.08,9.31,31.16,16.06,5.98,29.63,2.67,14.83,16.48,36.25,31.08,48.93,52.98,63.19,58.99,53.71,58.83,60.07,16.2,18.67,7.26,10.43,19.5,8.43,11.4,21.81,13.56,5.91,25.26,17.56,7.06,29,4.65,0.77,7.27,6.33,24.56,38.63,63.01,82.64,84.05,42.07,47.83,81.78,48.94,85.08,30.01,3.75,3.7,3.83,22.56,0.48,23.27
Arunachal Pradesh,Urban,3714,4211,621,83.23,26.17,989.14,912.26,89.71,41.34,99.5,98.13,79.87,90.15,99.43,33.6,8.03,84.65,92.13,55.39,64.12,70,86.93,16.69,17.65,1.44,3.23,27.35,12.51,16.7,22.17,56.95,44.84,15.66,0.02,6.28,13.34,7.46,0.66,13.4,7.66,21.08,71.85,57.18,47.81,82.11,29.39,13.03,97.73,67.03,10177.81,7.79,66.59,90.62,82.14,3.21,93.02,17.06,56.26,14.97,66.76,73.43,93.38,70.45,83.19,85.1,29.61,28.75,80.93,75.68,99.28,0.72,4.27,59.59,35.86,59.54,2.45,53.95,53.97,66.19,-42.25,26.52,-16.84,25.72,28.42,10.07,4.65,13.12,9.55,5.62,6.43,28.91,32.44,66.6,47.93,52.84,37,23.39,36.48,43.45,21.41,21.94,4.73,3.66,9.56,6.35,4.64,12.03,16.13,6.76,25.31,23.13,8.45,33.19,1.39,0.69,0.99,1.17,11.1,30.36,58.64,70.58,89.2,22.99,69.78,85.98,81.91,93.53,18.54,1.05,0.1,14.01,44.45,14.85,44.29
